"nbsp","sing.sp","FRic","qual.FRic","FEve","FDiv","FDis","RaoQ","CWM.bodymass","CWM.Vertebrate","CWM.Invertebrate","CWM.Fish","CWM.Seed","CWM.Fruit","CWM.Root","CWM.Woody","CWM.Herbaceous","CWM.Nectar","CWM.aquatic","CWM.terrestrial","CWM.fossorial","CWM.arboreal","shortName","nLocomotor","nTrophic"
44,44,6.42119536423801e-05,0.245927495326894,0.956989934898807,0.655083137053286,0.18414897007114,0.0377874402522848,166664.496590909,2.7906976744186,2.88372093023256,3.81395348837209,3.90697674418605,2.7906976744186,3.65116279069767,3,3.25581395348837,3.93023255813953,"0","1","0","0","Aberdare",5,15
32,32,1.64761575256058e-06,0.245927495326894,0.917804776260901,0.64955829932375,0.172213058083742,0.032996291065896,25632.2834375,2.46875,2.65625,3.6875,3.90625,3.03125,3.9375,3.25,3.3125,4,"0","1","0","0","Abijatta-Shalla Lake",5,14
32,32,2.10986619449632e-08,0.245927495326894,0.893943502918942,0.669264768355139,0.161967878731606,0.0289159493203437,76900.494296875,2.64516129032258,3.03225806451613,3.80645161290323,3.80645161290323,3.19354838709677,3.83870967741935,3.25806451612903,3.06451612903226,4,"0","1","0","0","Abou Telfance",3,14
16,16,2.1643788874646e-08,0.245927495326894,0.991342337259971,0.656270189246016,0.128174655557663,0.0221946648537327,24486.93875,2.4375,3.125,3.8125,3.8125,3.5,4,3.21428571428571,3.21428571428571,4,"0","1","0","0","Addax",2,8
29,29,7.01705730672255e-08,0.245927495326894,0.846088043161891,0.693565719931036,0.173979786804217,0.0323978759003265,21668.7806896552,2.55172413793103,2.55172413793103,3.89655172413793,3.79310344827586,3.3448275862069,3.82758620689655,3.17241379310345,3.20689655172414,4,"0","1","0","0","Ai-Ais Hot Spring",4,10
67,67,0.00024957449517017,0.245927495326894,0.939854436639853,0.657803442955075,0.183581939392942,0.0383485600382649,144363.133843284,2.75806451612903,2.79032258064516,3.79032258064516,3.83870967741935,2.80645161290323,3.69354838709677,3.25806451612903,3.19354838709677,4,"0","1","0","0","Akegera",5,17
22,22,5.81915745096632e-08,0.245927495326894,0.900290085655737,0.672440332179192,0.133166956452254,0.0235896861742849,20574.5295454545,2.13636363636364,3,3.86363636363636,3.86363636363636,3.27272727272727,3.86363636363636,3.6,3.3,4,"0","1","0","0","Alor",3,11
37,37,3.42496196050027e-05,0.245927495326894,0.95816943817736,0.676273889534461,0.19934585433833,0.0439818720412474,201914.550216216,2.75,2.72222222222222,3.80555555555556,3.63888888888889,2.36111111111111,3.66666666666667,3.02777777777778,3.41666666666667,3.91666666666667,"0","1","0","0","Amani",5,13
47,47,1.00394556071967e-07,0.245927495326894,0.90641796799528,0.650618088619726,0.163241620442052,0.0295175668475603,225121.709787234,2.77777777777778,3.08888888888889,3.86666666666667,3.91111111111111,3.13333333333333,3.75555555555556,3.11111111111111,3.08888888888889,4,"0","1","0","0","Amboseli",4,15
44,44,8.71471392244798e-07,0.245927495326894,0.927243582144927,0.666307508595573,0.167486178884201,0.0323432454675084,113258.652045455,2.59090909090909,2.79545454545455,3.84090909090909,3.75,3.25,3.95454545454545,3.22727272727273,3.43181818181818,4,"0","1","0","0","Angola",5,14
17,17,7.43194352158581e-07,0.245927495326894,0.968089568088422,0.620298459747742,0.190382364021147,0.0392765453240238,341661.901764706,2.64705882352941,3,4,3.76470588235294,2.58823529411765,3.64705882352941,2.47058823529412,3.11764705882353,3.82352941176471,"0","1","0","0","Arabuko-Sokoke",4,10
25,25,3.75092806930992e-09,0.245927495326894,0.94553780809637,0.595623544128132,0.132459577098703,0.0186273020844901,347472.9204,2.80952380952381,3.66666666666667,4,3.85714285714286,3.38095238095238,3.66666666666667,2.42857142857143,3.28571428571429,4,"0","1","0","0","Arawale",3,11
43,43,2.06514664272065e-06,0.245927495326894,0.915822997758426,0.660922516288492,0.168709813892749,0.0327256826540069,140834.653895349,2.5952380952381,2.97619047619048,3.83333333333333,3.78571428571429,3.11904761904762,3.80952380952381,3.26190476190476,2.92857142857143,4,"0","1","0","0","Arli",4,15
