Species,Body Mass (grams),Diet PCA 1,Diet PCA 2
Acinonyx jubatus,60000,-2.181733712,-1.632196735
Addax nasomaculatus,106500,-0.153100426,0.127760419
Aepyceros melampus,45150,3.451411406,-1.687155711
Alcelaphus buselaphus,148833,2.470132537,-1.167094019
Allenopithecus nigroviridis,3202,-0.153100426,0.127760419
Ammotragus lervia,66625,3.451411406,-1.687155711
Antidorcas marsupialis,27900,3.451411406,-1.687155711
Aonyx capensis,18000,-3.323979969,-0.822939594
Aonyx congicus,20000,-2.037223646,-1.205654988
Arctocebus aureus,210,-1.369181798,1.720233712
Arctocebus calabarensis,262,-1.369181798,1.720233712
Atelerix albiventris,925,-4.173661789,0.01418202
Atelerix algirus,925,-2.500894255,0.953868669
Atelerix frontalis,925,-4.173661789,0.01418202
Atherurus africanus,2900,-0.96353981,3.800490768
Atilax paludinosus,3300,-4.336128817,-0.03959133
Bdeogale crassicauda,1570,-2.738123264,-0.644904506
Bdeogale nigripes,625,-2.119045658,0.0007975
Canis adustus,10600,-2.48571795,-0.263003881
Canis aureus,8320,-4.856977619,-0.682631059
Canis mesomelas,7200,-3.414334359,-1.231556891
Canis simensis,12800,-2.181733712,-1.632196735
Capra nubiana,75000,3.451411406,-1.687155711
Capra walie,92500,2.35146305,-0.785124098
Caracal caracal,9680,-2.702582514,-2.275236463
Cephalophus callipygus,20000,2.395613199,-0.855701452
Cephalophus dorsalis,19500,2.395613199,-0.855701452
Cephalophus jentinki,72000,2.395613199,-0.855701452
Cephalophus leucogaster,17500,2.395613199,-0.855701452
Cephalophus maxwellii,8000,2.395613199,-0.855701452
Cephalophus monticola,6250,2.395613199,-0.855701452
Cephalophus natalensis,11917,2.395613199,-0.855701452
Cephalophus niger,20000,2.395613199,-0.855701452
Cephalophus nigrifrons,14000,2.395613199,-0.855701452
Cephalophus ogilbyi,17000,2.395613199,-0.855701452
Cephalophus rufilatus,10000,2.395613199,-0.855701452
Cephalophus silvicultor,71000,2.395613199,-0.855701452
Cephalophus spadix,55000,2.823370333,-2.131627513
Cephalophus weynsi,17500,2.395613199,-0.855701452
Cephalophus zebra,18000,2.395613199,-0.855701452
Ceratotherium simum,1500000,2.470132537,-1.167094019
Cercocebus galeritus,5401,-1.318607413,3.015312356
Cercocebus torquatus,6408,-0.128321513,1.915510593
Cercopithecus ascanius,3000,-0.310653825,1.495082384
Cercopithecus campbelli,2575,-0.310653825,1.495082384
Cercopithecus cephus,2868,-0.986899495,1.43053397
Cercopithecus diana,4153,-0.310653825,1.495082384
Cercopithecus dryas,2200,-0.310653825,1.495082384
Cercopithecus erythrogaster,2400,-0.310653825,1.495082384
Cercopithecus erythrotis,2900,-0.310653825,1.495082384
Cercopithecus hamlyni,3600,-0.310653825,1.495082384
Cercopithecus lhoesti,4088,-0.310653825,1.495082384
Cercopithecus mitis,4279,-0.310653825,1.495082384
Cercopithecus mona,2500,-0.310653825,1.495082384
Cercopithecus neglectus,3994,-0.310653825,1.495082384
Cercopithecus nictitans,4238,-0.310653825,1.495082384
Cercopithecus petaurista,2900,-0.310653825,1.495082384
Cercopithecus pogonias,2968,-0.310653825,1.495082384
Cercopithecus preussi,4500,-0.310653825,1.495082384
Cercopithecus solatus,3910,1.620500462,1.052274301
Chlorocebus aethiops,3170,2.403380405,2.918660545
Civettictis civetta,11920,-4.709686897,0.588014842
Colobus angolensis,8285,1.370184181,-0.265062406
Colobus guereza,8701,1.379786789,2.739560318
Colobus polykomos,8185,1.379786789,2.739560318
Colobus satanas,8210,2.418556709,1.701787995
Colobus vellerosus,6900,1.379786789,2.739560318
Connochaetes gnou,116000,2.470132537,-1.167094019
Connochaetes taurinus,177300,2.470132537,-1.167094019
Cricetomys emini,1200,-1.806529041,0.246674431
Cricetomys gambianus,1200,-1.806529041,0.246674431
Crocuta crocuta,55300,-2.181733712,-1.632196735
Crossarchus alexandri,1500,-3.245045381,0.98273503
Crossarchus ansorgei,1050,-3.245045381,0.98273503
Crossarchus obscurus,1310,-3.245045381,0.98273503
Cynictis penicillata,643,-4.719289504,-2.416607882
Damaliscus hunteri,99000,2.470132537,-1.167094019
Damaliscus lunatus,111000,2.470132537,-1.167094019
Damaliscus pygargus,63900,2.470132537,-1.167094019
Dendrohyrax arboreus,3000,2.376241962,1.002626075
Dendrohyrax dorsalis,3000,2.376241962,1.002626075
Diceros bicornis,850000,2.35146305,-0.785124098
Equus asinus,123000,3.451411406,-1.687155711
Equus burchellii,239500,3.12431845,-1.513801814
Equus grevyi,350000,2.470132537,-1.167094019
Equus zebra,248100,3.12431845,-1.513801814
Erythrocebus patas,6217,3.503328761,2.016628933
Euoticus elegantulus,284,-0.97349122,2.803559648
Euoticus pallidus,300,-0.168276731,1.344632969
Felis chaus,5850,-3.486688857,-2.817247726
Felis margarita,2685,-3.051703809,-2.422230729
Felis nigripes,1320,-3.486688857,-2.817247726
Felis sylvestris,4090,-3.873437573,-2.1551375
Galago alleni,263,-1.379299335,2.531482079
Galago matschiei,212,-1.400877378,1.745272813
Galago moholi,180,-1.400877378,1.745272813
Galago senegalensis,198,-1.400877378,1.745272813
Galago zanzibaricus,135,-1.379299335,2.531482079
Galagoides demidoff,61,-1.379299335,2.531482079
Galagoides thomasi,130,-1.379299335,2.531482079
Galerella flavescens,750,-4.872153924,0.534241492
Galerella pulverulenta,692,-2.48571795,-0.263003881
Galerella sanguinea,440,-2.48571795,-0.263003881
Gazella cuvieri,17500,1.370184181,-0.265062406
Gazella dama,58000,2.35146305,-0.785124098
Gazella dorcas,12950,1.370184181,-0.265062406
Gazella granti,42000,2.35146305,-0.785124098
Gazella leptoceros,16000,1.370184181,-0.265062406
Gazella rufifrons,20000,2.470132537,-1.167094019
Gazella soemmerringii,42000,2.35146305,-0.785124098
Gazella spekei,20000,1.370184181,-0.265062406
Gazella thomsonii,20900,2.470132537,-1.167094019
Genetta abyssinica,1650,-4.719289504,-2.416607882
Genetta angolensis,1650,-4.719289504,-2.416607882
