shortName,fullName,country,latitude,longitude,WDPA_ID,Notes
Tsavo,Tsavo ,Kenya,-3.03,38.33,-999999,Combined polygons for west and east and used a fake number 
Iona NP,Iona National Park,Angola,-16.5,12.54,347,
Kameia NP,Kameia (Cameia) National Park,Angola,-11.85,21.67,349,
Bikuar NP,Bikuar National Park,Angola,-15.28,14.76,350,Bicuar National Park
Chobe,Chobe National Park,Botswana,-18.54,24.5,600,
Waza NP,Waza National Park,Cameroon,11.29,14.69,608,
Zakouma NP,Zakouma National Park,Chad,10.85,19.7,641,
Manda NP,Manda National Park,Chad,9.32,19.97,642,
Odzala-Koukoua NP,Odzala-Koukoua National Park,"Congo, Democratic Republic of",0.89,14.88,643,
Awash NP,Awash National Park,Ethiopia,9.2,40.2,652,"there is another option, Awash west which looks bigger"
Meru NP,Meru National Park,Kenya,0.08,38.33,755,
Aberdare,Aberdare National Park,Kenya,-0.38,36.7,756,
Amboseli,Amboseli National Park,Kenya,-2.6,37.5,758,
Nairobi,Nairobi National Park,Kenya,-1.3569641,36.8465564,761,
Nakuru,Lake Nakuru National Park,Kenya,-0.4,36.09,762,
Nyika,Nyika National Park,Malawi,-10.5,34,779,
Kasunga,Kasungu National Park,Malawi,-13,33.2,780,
Banc d'Arguin,Banc d'Arguin,Mauritania,20.23,-16.11,797,
BHINE,Banhine National Park,Mozambique,-22.826,32.864,799,
Zinave,Zinave National Park,Mozambique,-21,33,800,
Gorongosa NP,Gorongosa National Park,Mozambique,-18.83,34.51,801,
W' du Niger NP,W' du Niger National Park,Niger,12.52,2.66,818,
Volcans NP,Volcans National Park,Rwanda,-1.45,29.42,863,
Kruger,Kruger National Park,South Africa,-23.8214244,31.4456179,873,
Golden Gate NP,Golden Gate National Park,South Africa,-28.3,28.4,879,Highlands
Namib Naukluft GR,Namib Naukluft Game Reserve,Namibia,-24.58,15.43,883,
Etosha NP,Etosha National Park,Namibia,-19,15.75,884,
Skeleton Coast Park,Skeleton Coast Park,Namibia,-19.17,12.84,885,
Waterberg Plateau,Waterberg Plateau Park,Namibia,-20.44,17.25,887,
Ruaha NP,Ruaha National Park,Tanzania,-7.5,35,917,
Mikumi NP,Mikumi National Park,Tanzania,-7.2,37.13,919,
Tarangire,Tarangire National Park,Tanzania,-4.15,36.1,920,
Kilimanjaro,Kilimanjaro,Tanzania,-3.06,37.33,922,
Lake Manyara,Lake Manyara National Park,Tanzania,-3.6033141,35.784354,924,
Arusha,Arusha National Park,Tanzania,-3.25,36.83,925,
Gombe NP,Gombe National Park,Tanzania,-4.66,29.63,926,
Kabalega/Murchison,Kabalega/Murchison Falls National Park,Uganda,2.25,31.8,956,
Kidepo,Kidepo National Park,Uganda,3.86,33.8,958,Kidepo Valley
W du Burkina Faso NP,W du Burkina Faso National Park,Burkina Faso,11.91,2.2,1048,
Kabore-Tambi NP,Kabore-Tambi National Park,Burkina Faso,11.5,-1.25,1049,
Garamba,Garamba Region,"Congo, Democratic Republic of",3.8,29.5,1083,"two options, 4327 or 1083 (going with 1083)"
Kafue,Kafue,Zambia,-15.67,27,1085,
Kafue National Park,Kafue National Park,Zambia,-14.4420297,25.8521764,1085,
Mweru-Wantipa,Mweru-Wantipa,Zambia,-8.41,29.26,1090,
Lunga,West Lunga National Park,Zambia,-12.17,24.83,1093,
Nyika Plateau,Nyika Plateau,Zambia,-10.58,33.68,1102,
Campo Ma'an NP,Campo Ma'an National Park,Cameroon,2.46,10.3,1242,
Ouadi Achim,Ouadi Achim Faunal Reserve,Chad,15.77,19,1250,
Masai,Masai Mara,Kenya,-1.49,35.14,1297,
Yankari,Yankari Game Reserve,Nigeria,9.826286,10.5296115,1332,
Daan Viljoen GP,Daan Viljoen Game Park,Namibia,-22.53,16.96,1362,
Selous GR,Selous Game Reserve,Tanzania,-8.86,37.41,1399,
Mushandike,Mushandike Sanctuary,Zimbabwe,-8.68,29.44,1479,
Hwange,Hwange National Park,Zimbabwe,-19.2038771,26.6081653,1991,
Simien Mountain NP,Simien Mountain National Park,Ethiopia,13.11,38.04,2006,"two options, 2006 or 653"
Mupa NP,Mupa National Park,Angola,-15.91,15.59,2249,
MonovoGoundaStFloris,Manovo-Gounda-Saint Floris National Park,Central African Republic,8.89,21.43,2256,
