"family.x","genus.x","species.x","taxon","shortName","locomotor_rowan","trophic_rowan","bodymass"
"Anomaluridae","Anomalurus","","Anomalurus ","La Maboke","A","OM-FL",1217.915
"Anomaluridae","Anomalurus","derbianus","Anomalurus derbianus","Amani","A","FL",665.84
"Anomaluridae","Anomalurus","derbianus","Anomalurus derbianus","Benin","A","FL",665.84
"Anomaluridae","Anomalurus","derbianus","Anomalurus derbianus","Budongo","A","FL",665.84
"Anomaluridae","Anomalurus","derbianus","Anomalurus derbianus","Irangi","A","FL",665.84
"Anomaluridae","Anomalurus","derbianus","Anomalurus derbianus","Kakamega","A","FL",665.84
"Anomaluridae","Anomalurus","derbianus","Anomalurus derbianus","Kivu","A","FL",665.84
"Anomaluridae","Anomalurus","derbianus","Anomalurus derbianus","Lamto","A","FL",665.84
"Anomaluridae","Anomalurus","derbianus","Anomalurus derbianus","Lusinga","A","FL",665.84
"Anomaluridae","Anomalurus","derbianus","Anomalurus derbianus","Makokou","A","FL",665.84
"Anomaluridae","Anomalurus","derbianus","Anomalurus derbianus","Mount Nimba","A","FL",665.84
"Anomaluridae","Anomalurus","derbianus","Anomalurus derbianus","Obudu-Boshir","A","FL",665.84
"Anomaluridae","Anomalurus","derbianus","Anomalurus derbianus","Rwenzori","A","FL",665.84
"Anomaluridae","Anomalurus","derbianus","Anomalurus derbianus","Sangmelina","A","FL",665.84
"Anomaluridae","Anomalurus","derbianus","Anomalurus derbianus","Semliki","A","FL",665.84
"Anomaluridae","Anomalurus","derbianus","Anomalurus derbianus","Semliki Montane","A","FL",665.84
"Anomaluridae","Anomalurus","derbianus","Anomalurus derbianus","Seredou","A","FL",665.84
"Anomaluridae","Anomalurus","derbianus","Anomalurus derbianus","Tai","A","FL",665.84
"Anomaluridae","Anomalurus","pelii","Anomalurus pelii","Lamto","A","B",1769.99
"Anomaluridae","Anomalurus","pelii","Anomalurus pelii","Mount Nimba","A","B",1769.99
"Anomaluridae","Anomalurus","pelii","Anomalurus pelii","Tai","A","B",1769.99
"Bovidae","Addax","nasomaculatus","Addax nasomaculatus","Addax","T","MF-G",96077.36
"Bovidae","Addax","nasomaculatus","Addax nasomaculatus","Alor","T","MF-G",96077.36
"Bovidae","Addax","nasomaculatus","Addax nasomaculatus","Banc d'Arguin","T","MF-G",96077.36
"Bovidae","Addax","nasomaculatus","Addax nasomaculatus","Fada Archei FR","T","MF-G",96077.36
"Bovidae","Addax","nasomaculatus","Addax nasomaculatus","Ouadi Achim","T","MF-G",96077.36
