"name","area","WDPAid","patchRichness","nPatches","stddev_WC","mean_WC","analysis_scale","shortName","fullName","country","latitude","longitude","Notes","nbsp","sing.sp","FRic","qual.FRic","FEve","FDiv","FDis","RaoQ","CWM.bodymass","CWM.Vertebrate","CWM.Invertebrate","CWM.Fish","CWM.Seed","CWM.Fruit","CWM.Root","CWM.Woody","CWM.Herbaceous","CWM.Nectar","CWM.aquatic","CWM.terrestrial","CWM.fossorial","CWM.arboreal","nLocomotor","nTrophic"
"Réserve partielle de faune d'Ansongo-Ménaka",15276.0288271488,2327,8,31737,0.00822338754470599,0.00662199708928431,100,"Reserve Temporaire","Reserve Temporaire de Faune d'Ansongo-Menaka","Mali",15.55,1.7,"",25,25,6.27268318265977e-08,0.245927495326894,0.956758586712921,0.683163227440067,0.164167606801619,0.0328249957841137,54376.6495,2.52,2.64,3.72,3.76,3.08,3.88,3.5,3.5,4,0,1,0,0,4,9
"Kibira",479.59184066615,9161,11,4303,0.0514635410679936,0.84061890576732,100,"Kibira NP","Kibira National Park","Burundi",-3.6,29.32,"",65,65,0.000226245128548377,0.245927495326894,0.925245954549226,0.657106393423176,0.18485172765217,0.0376064064559814,45902.6227820513,2.83606557377049,2.9344262295082,3.85245901639344,3.81967213114754,2.72131147540984,3.72131147540984,3.19672131147541,3.18032786885246,4,0,1,0,0,5,17
"Parc national du Ruvubu",535.548987687057,9160,10,8372,0.115242957481179,0.61345140181657,100,"Ruvubu NP","Ruvubu National Park","Burundi",-3.13,30.38,"",58,58,4.3157991021945e-05,0.245927495326894,0.921004163420611,0.667903336144468,0.176423593002521,0.035337646747041,85331.8218534483,2.74545454545455,2.76363636363636,3.87272727272727,3.85454545454545,2.92727272727273,3.70909090909091,3.29090909090909,3.14545454545455,4,0,1,0,0,5,17
"Réserve naturelle du Rusizi",85.4274708933633,9162,8,1280,0.0886550504898242,0.573636131063045,100,"Rusizi NP","Rusizi National Park","Burundi",-3.24,29.25,"",52,52,7.82953674448477e-05,0.245927495326894,0.954457027337411,0.658346295046366,0.185980942494667,0.0376646480242057,72898.4455288462,2.88235294117647,2.92156862745098,3.88235294117647,3.82352941176471,2.76470588235294,3.70588235294118,3.25490196078431,3.07843137254902,4,0,1,0,0,5,17
"Bururi Forest",26.9677323827126,9164,9,435,0.111380040299431,0.796065334130581,100,"Bururi Forest NR","Bururi Forest National Reserve","Burundi",-3.94,29.6,"",49,49,0.000100195254582769,0.245927495326894,0.921165501400921,0.650673123185,0.179355860395554,0.0347333110488901,71146.9709353741,2.82978723404255,2.85106382978723,3.93617021276596,3.85106382978723,2.82978723404255,3.65957446808511,3.14893617021277,3.19148936170213,4,0,1,0,0,5,16
"Waza",1412.65424568481,608,6,6870,0.0801354619942431,0.252803831606565,100,"Waza NP","Waza National Park","Cameroon",11.29,14.69,"",42,42,4.53942512566591e-07,0.245927495326894,0.913814433648529,0.680212884434442,0.15904261156453,0.0290725304574292,163521.874464286,2.5609756097561,2.97560975609756,3.85365853658537,3.85365853658537,3.19512195121951,3.80487804878049,3.24390243902439,3.04878048780488,4,0,1,0,0,3,15
"Mbam et Djerem",4306.80278790466,20166,11,18970,0.115527000752474,0.76834352517879,100,"Mbam et Djerem NP","Mbam et Djerem National Park","Cameroon",5.86,12.77,"",47,47,0.000139507082796989,0.245927495326894,0.925796156440689,0.669412983776438,0.187801023159535,0.0384613267569551,42382.6413297872,2.71739130434783,2.8695652173913,3.78260869565217,3.80434782608696,2.71739130434783,3.69565217391304,3.30434782608696,3.08695652173913,4,0,1,0,0,5,17
"Boumba Bek",2374.35572680993,308624,10,736,0.029992628132819,0.876878408774171,100,"Boumba Bek/Neki NP","Boumba Bek/Neki National Parl","Cameroon",2.51,14.72,"",48,48,7.76322953228067e-05,0.245927495326894,0.839433172056589,0.667917694442937,0.203724609108446,0.0453721023701846,116094.368645833,2.76086956521739,2.84782608695652,3.80434782608696,3.54347826086956,2.04347826086957,3.67391304347826,3.21739130434783,3.39130434782609,4,0,1,0,0,5,13
"Korup",1268.07286343403,20058,9,897,0.0894448162174968,0.723099193975347,100,"Korup NP","Korup National Park","Cameroon",5.1,8.51,"",44,44,0.000102201491865353,0.245927495326894,0.796327481171723,0.674128674856174,0.201446862848154,0.0438100301149514,113382.85,2.69767441860465,2.67441860465116,3.83720930232558,3.62790697674419,2.11627906976744,3.6046511627907,3.37209302325581,3.44186046511628,4,0,1,0,0,5,12
"Campo-Ma'an",2621.8886663592,1242,13,3205,0.146334163882146,0.84617691854935,100,"Campo Ma'an NP","Campo Ma'an National Park","Cameroon",2.46,10.3,"",48,48,8.95948292854095e-05,0.245927495326894,0.82556964242677,0.667649133637201,0.203521386235196,0.0451326900376008,143343.4909375,2.73913043478261,2.91304347826087,3.8695652173913,3.54347826086956,1.97826086956522,3.67391304347826,3.21739130434783,3.28260869565217,4,0,1,0,0,5,13
"Yankari",2397.21555272932,1332,10,14497,0.0890893339336389,0.277127323085788,100,"Yankari","Yankari Game Reserve","Nigeria",9.826286,10.5296115,"",37,37,2.14469042910386e-06,0.245927495326894,0.956424013785137,0.633397128147432,0.171747774536098,0.0331481331359171,202751.50972973,2.61111111111111,3.13888888888889,3.91666666666667,3.66666666666667,2.97222222222222,3.69444444444444,3.13888888888889,2.66666666666667,4,0,1,0,0,4,14
"W (Benin)",5806.17191365083,12201,10,25320,0.0885085657581938,0.276011939638892,100,"Benin","Benin City","Nigeria",6.5,5.5,"",30,30,9.61176620106435e-05,0.245927495326894,0.8349438551158,0.659390344742029,0.204822601234343,0.0463621482192282,137357.489666667,2.60714285714286,2.64285714285714,3.82142857142857,3.57142857142857,1.75,3.46428571428571,3.46428571428571,3.46428571428571,4,0,1,0,0,5,13
"Kidepo Valley",1437.23245553074,958,10,8343,0.101698391621801,0.436943869651758,100,"Kidepo","Kidepo National Park","Uganda",3.86,33.8,"Kidepo Valley",45,45,9.63002625395673e-07,0.245927495326894,0.899731890257009,0.648790456449758,0.154287424715283,0.0270938103982127,201050.170444444,3.02325581395349,3.2093023255814,4,3.86046511627907,3.2093023255814,3.86046511627907,2.83720930232558,2.95348837209302,4,0,1,0,0,4,14
"Rwenzori Mountains",998.905644444759,18438,13,8141,0.0942553468658578,0.776051769406361,100,"Rwenzori NP","Rwenzori National Park","Uganda",0.13,30,"",49,49,4.95156395829909e-05,0.245927495326894,0.955183015708505,0.66638968326955,0.18866798857321,0.0394173818611476,153911.485663265,2.77083333333333,2.89583333333333,3.875,3.66666666666667,2.64583333333333,3.72916666666667,3.33333333333333,3.125,4,0,1,0,0,5,16
"Kibale",792.224748326657,40002,11,2700,0.0555450975453974,0.80105640817634,100,"Kibale NP","Kibale National Park","Uganda",0.53,30.38,"",72,72,0.000271946601435198,0.245927495326894,0.852330892705957,0.668227081100016,0.186081485540456,0.0390127690536494,112950.675104167,2.76470588235294,2.80882352941176,3.80882352941176,3.82352941176471,2.67647058823529,3.69117647058824,3.27941176470588,3.17647058823529,4,0,1,0,0,5,17
"Murchison Falls",3895.11626338592,956,12,33226,0.144142232976715,0.598994726181317,100,"Kabalega/Murchison","Kabalega/Murchison Falls National Park","Uganda",2.25,31.8,"",44,44,8.80988907730515e-05,0.245927495326894,0.964997149451443,0.65050807650726,0.186368429154908,0.0390135002859374,185168.896363636,2.79545454545455,3.04545454545455,3.84090909090909,3.59090909090909,2.72727272727273,3.72727272727273,3.29545454545455,2.95454545454545,4,0,1,0,0,5,16
"Fada Archei",1745.53266343474,9033,5,1170,NA,NA,100,"Fada Archei FR","Fada Archei Faunal Reserve","Chad",16.96,21.4,"",20,20,6.20850865178792e-08,0.245927495326894,0.889214049228448,0.675200946773829,0.136160327632223,0.0233715576554336,19198.395375,2.45,2.95,3.85,3.85,3.2,3.85,3.55555555555556,3.5,4,0,1,0,0,3,10
"Mandelia",1321.29839745131,5166,7,6761,0.0955220326351348,0.361131644510704,100,"Mandelia","Mandelia Faunal Reserve","Chad",11.56,15.22,"",48,48,4.85712155486711e-07,0.245927495326894,0.9133999321298,0.673734111836619,0.159921580681452,0.0295682019137217,70162.7668229167,2.53191489361702,2.91489361702128,3.78723404255319,3.80851063829787,3.23404255319149,3.8936170212766,3.34042553191489,3.04255319148936,4,0,1,0,0,4,16
"Binder-Léré",1133.53653160855,5168,10,5032,0.0786383573826283,0.346445564022898,100,"Binder","Binder Faunal Reserve","Chad",9.63,14.41,"",43,43,1.89444282380408e-06,0.245927495326894,0.920763935178982,0.660982755966811,0.167380327275562,0.031992649493782,53081.1001744186,2.54761904761905,2.90476190476191,3.76190476190476,3.78571428571429,3.04761904761905,3.80952380952381,3.40476190476191,3.14285714285714,4,0,1,0,0,5,15
"Foret de Bandia",104.933988398974,352632,5,620,0.0648245518000398,0.345419955550186,100,"Bandia","Bandia","Senegal",14.59,-16.97,"",22,22,3.40888605866628e-08,0.245927495326894,0.997233224962242,0.721233095372765,0.180495101661921,0.0384035428775904,12873.905,2.09090909090909,2.54545454545455,3.54545454545455,3.59090909090909,2.63636363636364,3.63636363636364,3.36363636363636,3.5,4,0,1,0,0,4,10
"Kapama Game Reserve",83.6123649907673,555570390,10,579,0.0617288921551459,0.480043878545806,100,"Kapama GR","Kapama Game Reserve","South Africa",-24.3,31,"",49,49,4.00351813696748e-07,0.245927495326894,0.936335678105796,0.652617384056896,0.168692174733505,0.0303711014955054,247164.285306122,2.80434782608696,2.95652173913044,3.8695652173913,3.78260869565217,3.10869565217391,3.65217391304348,3.26086956521739,3.08695652173913,4,0,1,0,0,4,16
"Mushandike",125.625422726371,1479,9,984,0.102041115530867,0.539479919117143,100,"Mushandike","Mushandike Sanctuary","Zimbabwe",-8.68,29.44,"",46,46,9.81290710889663e-07,0.245927495326894,0.911046262933599,0.664964424704247,0.163479534763387,0.0289317932015496,38744.1482065217,2.63636363636364,2.65909090909091,3.84090909090909,3.86363636363636,3.18181818181818,3.81818181818182,3.18181818181818,3.25,4,0,1,0,0,5,16
"Mare aux Hippopotames",153.062512387361,28581,10,982,0.0933517782030464,0.387192353777056,100,"Mare aux Hippootames","Mare aux Hippootames Bird Reserve","Burkina Faso",11.59,-4.15,"",40,40,1.50272646350846e-06,0.245927495326894,0.914573237449071,0.657845323494216,0.169904642580525,0.0332674705126594,74084.1646875,2.525,2.85,3.825,3.775,3.15,3.875,3.375,2.975,4,0,1,0,0,4,14
"National Park Iona",15315.727132169,347,10,25630,0.0687042005972898,0.035822759202886,100,"Iona NP","Iona National Park","Angola",-16.5,12.54,"",46,46,3.05729238796669e-07,0.245927495326894,0.844438094427551,0.656487912392175,0.169159898017062,0.0308868222658225,96529.3269565217,2.61363636363636,2.72727272727273,3.79545454545454,3.84090909090909,3.31818181818182,3.77272727272727,3.22727272727273,3.22727272727273,4,0,1,0,0,4,15
"National Park Cameia",14240.6696712207,349,11,37384,0.0734177210560564,0.322924683357877,100,"Kameia NP","Kameia (Cameia) National Park","Angola",-11.85,21.67,"",54,54,1.99823611825787e-05,0.245927495326894,0.929206706264535,0.650391941024027,0.161061672057594,0.0305876882314215,59208.7944907407,2.52,2.82,3.8,3.86,3.16,3.78,3.46,3.34,4,0,1,0,0,5,16
"National Park Bicuar",7755.39039646189,350,10,36433,0.136731176933247,0.559577571967275,100,"Bikuar NP","Bikuar National Park","Angola",-15.28,14.76,"Bicuar National Park",53,53,2.10043101428868e-06,0.245927495326894,0.905344017552783,0.643673232849839,0.159268252691995,0.0284015924316131,85497.0514622641,2.68,2.74,3.86,3.86,3.28,3.78,3.26,3.32,4,0,1,0,0,5,17
"National Park Mupa",5386.23874503922,2249,9,34661,0.0904785658936808,0.507317660551947,100,"Mupa NP","Mupa National Park","Angola",-15.91,15.59,"",53,53,2.0807541286801e-06,0.245927495326894,0.931101828980287,0.640702879255597,0.162802295234146,0.02915465052945,107905.357688679,2.76,2.8,3.86,3.86,3.26,3.74,3.2,3.24,4,0,1,0,0,5,17
"National Park Luengue-Luiana",10470.3948022368,4493,9,56360,0.0999605300421114,0.499148017616703,100,"Luiana NP","Luiana National Park","Angola",-15.5,15.3,"",56,56,8.26351176945129e-07,0.245927495326894,0.922087787317434,0.662229720679031,0.159014686646175,0.0278902231243205,246051.774642857,2.9622641509434,3.11320754716981,3.90566037735849,3.81132075471698,3.28301886792453,3.73584905660377,3.32075471698113,2.92452830188679,4,0,1,0,0,5,17
