"name","area","WDPAid","patchRichness","nPatches","stddev_WC","mean_WC","analysis_scale"
"Réserve partielle de faune d'Ansongo-Ménaka",15276.0288271488,2327,8,31737,0.00822338754470599,0.00662199708928431,100
"Kibira",479.59184066615,9161,11,4303,0.0514635410679936,0.84061890576732,100
"Parc national du Ruvubu",535.548987687057,9160,10,8372,0.115242957481179,0.61345140181657,100
"Réserve naturelle du Rusizi",85.4274708933633,9162,8,1280,0.0886550504898242,0.573636131063045,100
"Bururi Forest",26.9677323827126,9164,9,435,0.111380040299431,0.796065334130581,100
"Waza",1412.65424568481,608,6,6870,0.0801354619942431,0.252803831606565,100
"Mbam et Djerem",4306.80278790466,20166,11,18970,0.115527000752474,0.76834352517879,100
"Boumba Bek",2374.35572680993,308624,10,736,0.029992628132819,0.876878408774171,100
"Korup",1268.07286343403,20058,9,897,0.0894448162174968,0.723099193975347,100
"Campo-Ma'an",2621.8886663592,1242,13,3205,0.146334163882146,0.84617691854935,100
"Yankari",2397.21555272932,1332,10,14497,0.0890893339336389,0.277127323085788,100
"W (Benin)",5806.17191365083,12201,10,25320,0.0885085657581938,0.276011939638892,100
"Kidepo Valley",1437.23245553074,958,10,8343,0.101698391621801,0.436943869651758,100
"Rwenzori Mountains",998.905644444759,18438,13,8141,0.0942553468658578,0.776051769406361,100
"Kibale",792.224748326657,40002,11,2700,0.0555450975453974,0.80105640817634,100
"Murchison Falls",3895.11626338592,956,12,33226,0.144142232976715,0.598994726181317,100
"Fada Archei",1745.53266343474,9033,5,1170,NA,NA,100
"Mandelia",1321.29839745131,5166,7,6761,0.0955220326351348,0.361131644510704,100
"Binder-Léré",1133.53653160855,5168,10,5032,0.0786383573826283,0.346445564022898,100
"Foret de Bandia",104.933988398974,352632,5,620,0.0648245518000398,0.345419955550186,100
"Kapama Game Reserve",83.6123649907673,555570390,10,579,0.0617288921551459,0.480043878545806,100
"Mushandike",125.625422726371,1479,9,984,0.102041115530867,0.539479919117143,100
"Mare aux Hippopotames",153.062512387361,28581,10,982,0.0933517782030464,0.387192353777056,100
"National Park Iona",15315.727132169,347,10,25630,0.0687042005972898,0.035822759202886,100
"National Park Cameia",14240.6696712207,349,11,37384,0.0734177210560564,0.322924683357877,100
"National Park Bicuar",7755.39039646189,350,10,36433,0.136731176933247,0.559577571967275,100
"National Park Mupa",5386.23874503922,2249,9,34661,0.0904785658936808,0.507317660551947,100
"National Park Luengue-Luiana",10470.3948022368,4493,9,56360,0.0999605300421114,0.499148017616703,100
"National Park Mavinga",5631.43710031837,5081,8,27247,0.0992327520816971,0.597310927300378,100
"Kabore-Tambi",1521.65251956281,1049,7,7599,0.0623961496784359,0.317838640354634,100
"Deux Bales",886.881014112113,2344,10,5684,0.0683722555584921,0.397440721320907,100
"W du Burkina Faso",2438.55283270317,1048,9,10044,0.0772350720862575,0.249135290038462,100
"Ai-Ais Hot Springs",4360.58900964402,8785,12,12757,0.0424785832205593,0.0309634284750194,100
"Mudumu",718.040758368598,30051,7,3955,0.0618591053783222,0.410450609997958,100
"Banc d'Arguin",11910.1013656985,797,7,1747,NA,NA,100
"Skeleton Coast Park",16885.5508913259,885,8,2369,0.0280312581885137,0.0228803271510611,100
"Namib-Naukluft",50876.2402257201,883,10,22343,0.02277607713113,0.0170642875591522,100
"Etosha",23011.8862932174,884,11,52171,0.133612084290956,0.17887816584355,100
"Waterberg Plateau Park",396.888414536016,887,9,2626,0.0439339646942287,0.437878608231687,100
"Nkasa Rupara",338.772203951884,30052,9,2572,0.0640438238441371,0.439485040685188,100
"Daan Viljoen Game Park",40.0718663414971,1362,2,72,0.0344667575325396,0.206496582565121,100
"Nyungwe",1023.16281280702,9148,10,3426,0.0277544871572046,0.849542809801795,100
"Volcans",163.245789504213,863,10,1827,0.0475088657812541,0.795559987090621,100
"Hwange",14743.7167848176,1991,10,51153,0.0833155201264526,0.520699725887787,100
"Mana Pools",2129.50669873554,2531,10,16322,0.111762870481282,0.551601690771105,100
"Yangudi Rassa",3058.41446256855,2276,7,8947,0.0568748436327575,0.0364039547181186,100
"Awash",584.482024471931,652,7,1423,0.109506456975426,0.291984757868139,100
"Abijatta-Shalla",922.100602172625,2279,7,3139,0.166210077240016,0.285959301572571,100
"Omo",3902.86787001389,2280,11,26479,0.196291876169505,0.511974526441045,100
"Bale Mountains",2317.63386843873,2281,12,17411,0.189156369634739,0.671472820781856,100
"Mago",1875.24152956627,2277,11,11803,0.152692806119809,0.579943015540228,100
"Manovo-Gounda-Saint Floris",19049.5000859545,2256,10,136267,0.147866530219302,0.475622363331218,100
"Manda",954.945881364573,642,10,8040,0.0675518448534432,0.404475956595096,100
"Zakouma",3054.91065652485,641,8,24253,0.066047452549595,0.345558693338838,100
"Garamba",4970.560966862,1083,10,49962,0.131334711910282,0.50765993042303,100
"Bontioli",130.879062506336,4489,9,1538,0.0732403991464644,0.365318170456522,100
"Singou",1935.66660503885,3229,7,6584,0.0696521142112331,0.196062997499583,100
"Arly",842.751300188101,4488,9,5375,0.0757500385359782,0.200571031038392,100
