"shortName","longitude","latitude"
"Kruger",31.4456179,-23.8214244
"Lake Manyara",35.784354,-3.6033141
"Luando",17.0067031,-10.5982486
"Hluhluwe",31.9358825684,-28.2354395664
"Kafue National Park",25.8521764,-14.4420297
"Hwange",26.6081653,-19.2038771
"Nairobi",36.8465564,-1.3569641
"Ngorongoro",35.5876697,-3.1617522
"Arli",1.2891036,11.6129173
"Deux Bales",-2.9775558,11.5550814
"Yankari",10.5296115,9.826286
"Kalahari Gemsbok",20.902977,-25.4398938
"Omo",35.8279959,5.8310333
"Lusinga",27.5,-8.8
"Semliki",30,0.07
"Rwenzori",29.98,0.39
"Budongo",31.43,1.75
"La Maboke",18.5,4
"Obudu-Boshir",9.21,6.29
"Irangi",28.47,-1.92
"Makokou",13,0.5
"Congo Basin",28.49,1.66
"Sangmelina",12,3
"Cross River",8.79,5.84
"Tamanrasset",3.74,24.1
"Nyika",34,-10.5
"Lunga",24.83,-12.17
"Kasunga",33.2,-13
"Liwonde",35.34,-14.87
"Angola",14.81,-15.29
"Tambarara",34.33,-18.67
"Zinave",33,-21
"Rukwa",31.97,-7.92
"Mweru",29.42,-8.65
"Sokoke-Gedi",39.93,-3.3
"Chobe",24.5,-18.54
"Messina",30,-22.3
"Tsavo",38.33,-3.03
"Lengwe/Mwabvi",34,-16.5
"Banagi",34.82,-2.25
"Amboseli",37.5,-2.6
"Legaja",35.03,-3
"Tarangire",36.1,-4.15
"Aberdare",36.7,-0.38
"Lokori",36.5,2
"Nakuru",36.09,-0.4
"Masai",35.14,-1.49
"Gabiro",30.38,-1.55
"Kapiti",36.9,-1.58
"Serengeti Bushland",35,-1.75
"Linyanti",23.5,-18.5
"Okavango",22.7,-19.5
"Guinea",9.98,10.31
"Sudan",6.95,12.65
"Bagbele",29.5,4.3
"Lamto",-5.03,6.22
"Karamoja",34.33,3
"Kidepo",33.8,3.86
"Serengeti Plains",35,-2.75
"Nyika Plateau",33.68,-10.58
"Mabwe",26.5,-8.6
"Tongwe",38.73,-5.3
"Kakamega",34.87,0.33
"Seredou",-9.33,7.58
"Tai",-7,6
"Kivu",29,-3.7
"Amani",38.63,-5.1
