"response","predictor","predictor_coef","predictor_se","covariate_coef","covariate_se","predictor_p","covariate_p","overall_r2","analysis_scale"
"FDiv","patchDensity",-0.0983178066895393,0.07880404749632,0.336763503687024,0.07880404749632,0.214050478814824,3.34853698249107e-05,0.105471156257611,100
"FDiv","CV woody cover",-0.0875778969886299,0.0759965964766837,0.634557320872124,0.092626883911377,0.25115224341867,2.22917114459831e-10,0.301646693567917,100
"FDiv","patchRichness",0.0387818373054557,0.0868320387636692,0.292111861691259,0.0868320387636692,0.655765251978976,0.000967827160651093,0.0976492684202998,100
"FEve","patchDensity",0.368156237502805,0.0720070062520483,-0.454482286404172,0.0720070062520483,9.24305724137883e-07,2.76566321802903e-09,0.25312691183165,100
"FEve","CV woody cover",-0.196930274045697,0.0808371381313921,-0.400176689211348,0.0985266782535673,0.0161198885677936,8.13367673288792e-05,0.114833512790229,100
"FEve","patchRichness",0.00971032208640888,0.085396407681589,-0.361241222484801,0.085396407681589,0.909615794403788,3.98072765912129e-05,0.127240505066206,100
"FRic","patchDensity",0.0564745791684654,0.068124523323839,0.558162727296487,0.0681245233238389,0.408384586477904,8.88058821965981e-14,0.331495625402432,100
"FRic","CV woody cover",-0.0303325774036485,0.074775876268099,0.751081880217865,0.0911390342669058,0.685630543191343,1.18349871775347e-13,0.362454003353926,100
"FRic","patchRichness",-0.0619999006945044,0.074738283567815,0.602773707580755,0.074738283567815,0.408063284405201,1.8630715276847e-13,0.331499682485665,100
"FDis","patchDensity",0.0185410303228642,0.0721891356232442,0.494094292239584,0.0721891356232441,0.797643192745645,1.68309711386396e-10,0.249343958973377,100
"FDis","CV woody cover",-0.227809387921786,0.0725155853139084,0.190822030470003,0.0883841252640535,0.00205700099457812,0.0325786325046626,0.132791062644,100
"FDis","patchRichness",0.225064490680362,0.0771242613751113,0.391584526125929,0.0771242613751113,0.00404469859248841,1.08498731614968e-06,0.288135371329911,100
"nLocomotor","patchDensity",0.0980975299519619,0.0557555162012883,0.710987688931741,0.0557555162012882,0.0804786969254285,6.34904317570813e-26,0.552211451881214,100
"nLocomotor","CV woody cover",-0.0916770410794798,0.0542241577079206,0.481187070799664,0.0660899960532408,0.0931506237102009,2.29424245546808e-11,0.340648361197975,100
"nLocomotor","patchRichness",0.19077050518975,0.0598458951758133,0.64599939686091,0.0598458951758133,0.00173501945444493,1.31039095184797e-20,0.571368470794217,100
"nTrophic","patchDensity",0.158085629411354,0.036127017128259,0.846101341421015,0.036127017128259,2.21280190188053e-05,8.84790241179106e-53,0.811998415058505,100
"nTrophic","CV woody cover",-0.0520405776673121,0.0388165160582369,0.730266891171636,0.0473107098667704,0.182226727028307,7.44620689000974e-32,0.672267572752734,100
"nTrophic","patchRichness",-0.00368754355044811,0.0420102738331806,0.889889648556016,0.0420102738331806,0.930167073410557,1.27738038870244e-47,0.788784199593846,100
"FDiv","patchDensity",-0.0754876037976896,0.0781410352643356,0.327683340195195,0.0781410352643356,0.335527496984328,4.60498238131078e-05,0.101895375291639,200
"FDiv","CV woody cover",-0.0900692940960043,0.0758968696827579,0.633887944700834,0.0925053339658256,0.237372039419969,2.20873744926441e-10,0.302049080633498,200
"FDiv","patchRichness",0.0104844899723774,0.084084234699032,0.306231452305834,0.084084234699032,0.900930288005985,0.000368387282113582,0.096578599094827,200
"FEve","patchDensity",0.362394200865533,0.0713225965765792,-0.438497292174865,0.0713225965765792,1.06684938988962e-06,6.3722480288107e-09,0.251791043307878,200
"FEve","CV woody cover",-0.196375393441125,0.0807605560156583,-0.399275308501273,0.0984333377215877,0.0163155866993337,8.30034023447492e-05,0.114696968806757,200
"FEve","patchRichness",0.0721512418475672,0.0824450300357301,-0.386841917555383,0.0824450300357301,0.382849847523739,5.89884139192106e-06,0.13145928112083,200
"FRic","patchDensity",0.0760174362628057,0.0672895834718,0.555998897047922,0.0672895834718,0.260345420590198,5.9308981436212e-14,0.334015239856098,200
"FRic","CV woody cover",-0.0324934983111446,0.0746925984644951,0.750342697174443,0.0910375328338886,0.66422044353295,1.17643524465311e-13,0.362567966410128,200
"FRic","patchRichness",-0.0691111545743515,0.0722778186837823,0.602138936951737,0.0722778186837822,0.340466420984229,3.98827872026847e-14,0.33246921801852,200
"FDis","patchDensity",0.0343029462593843,0.0714011936050337,0.491271976368942,0.0714011936050337,0.631602300161934,1.38723624559908e-10,0.250141092073747,200
"FDis","CV woody cover",-0.225965612134763,0.0724778210402095,0.192334518302995,0.0883380970580802,0.00221850833152024,0.0311618034920089,0.13191643215653,200
